id,name,chassis_value
1065,Merman,8.0
1066,Merman,7.0
1067,Merman Captain,8.0
1068,Merman Captain,7.0
1069,Pelagian Captain,15.73
1070,Philosopher,5.0
1071,Sceptic,5.0
1072,Engineer,5.0
1073,Maker of the Maze,30.3
1074,Wind Rider,28.23
1075,Wind Lord,35.0
1076,Myrmidon Champion,16.92
1077,Myrmidon,13.53
1078,Charioteer,6.9
1079,Charioteer,6.9
1080,XXX - Archerless Chariot,9.6
1081,Charioteer Commander,9.57
1082,Icarid,11.55
1083,Icarid Champion,14.76
1084,Moose,14.69
1085,Moose Rider,5.51
1086,Troll Moose Knight,40.57
1087,Large Ant,5.0
1088,Triton King,99.3
1089,Monster in the Maze,31.5
1090,Abysian Axe Thrower,7.92
1091,Sanguine Acolyte,21.0
1092,Sanguine Anathemant,44.76
1093,Sagittarian Carcass,64.71
1094,Desert Ranger,13.86
1095,Keeper of the Tombs,28.8
1096,Destroyer of Worlds,112.4
1097,Lord of The Summer Plague,126.48
1098,Asynja,96.42
1099,Poison Golem,83.9
1100,Leve,9.2
1101,Accensus,5.0
1102,Rorarus,9.2
1103,Hastatus,8.28
1104,Principe,10.44
1105,Triarius,16.54
1106,Lizard Auxiliare,7.92
1107,Equite,9.2
1108,Equite of the Sacred Shroud,31.24
1109,Flamen,16.5
1110,Pontifex,24.3
1111,Arch Bishop of the Sacred Shroud,33.67
1112,Bishop of the Sacred Shroud,21.3
1113,Acolyte,13.5
1114,Augur,12.9
1115,Augur Elder,27.9
1116,Markata,7.31
1117,Vanara,6.48
1118,Markata,7.31
1119,Markata Scout,7.31
1120,Markata Archer,7.31
1121,Atavi Archer,6.48
1122,Atavi Infantry,6.48
1123,Vanara Archer,6.48
1124,Vanara Chakram Thrower,6.48
1125,Vanara Infantry,5.4
1126,Vanara Swordsman,9.0
1127,Atavi Chieftain,11.88
1128,Vanara Captain,9.9
1129,Bandar,13.1
1130,Light Bandar Archer,13.1
1131,Bandar Archer,13.1
1132,Bandar Warrior,12.13
1133,Bandar Warrior,10.92
1134,Royal Swordsman,17.1
1135,Bandar Commander,19.68
1136,Bandar Noble,19.0
1139,Headless Hoburg Hero,18.36
1140,Tiger,25.92
1141,Tiger Rider,24.75
1142,White One,19.8
1143,Guru,24.96
1144,Rishi,39.96
1145,Yogi,12.72
1146,Brahmin,14.34
1147,Elephant Rider,5.4
1148,Eater of Gods,620.97
1149,Eater of Gods,443.87
1150,Eater of Gods,392.81
1151,Slave to Unreason,5.0
1152,Axe Warrior,10.93
1153,Warrior,9.11
1154,Forest Warrior,13.78
1155,Mountain Warrior,11.48
1156,Iron Warrior,15.2
1157,Steel Warrior,29.6
1158,Warrior Chief,19.07
1159,Warrior Smith,30.2
1160,Shaman,25.43
1161,Antlered Shaman,40.43
1162,Archer,9.11
1163,Warrior Maiden,10.3
1164,Steel Maiden,15.05
1165,Shield Maiden,11.55
1166,Tomb Guard,24.84
1167,Lancer,8.67
1168,Raider,10.4
1169,Chieftain,15.03
1170,Sauromatian Lancer,11.6
1171,Sauromatian Raider,11.6
1172,Sauromatian Cataphract,14.0
1173,Sauromatian Manflayer,19.36
1174,Warrior Priestess,35.56
1175,Warrior Queen,32.56
1176,Androphag,26.03
1177,Manflayer,30.8
1178,Witch King,62.2
1179,Serpent,27.93
1180,Spirit Guide,5.97
1181,Enarie,17.97
1182,Hedge Wizard,8.67
1183,Androphag Archer,8.28
1184,Sauromatian Archer,8.28
1185,Oiorpata,24.67
1186,Warrior Sorceress,35.33
1187,Cataphract,9.2
1188,Soothsayer,6.9
1189,Mictlan Priest,18.9
1190,Priest King,55.4
1191,Rain Priest,33.9
1192,Moon Priest,33.9
1193,Sun Priest,33.9
1194,Couatl,64.2
1195,Hoburg Priest,13.5
1196,Hog Knight,8.53
1197,Burgmeister,5.0
1198,Horticulturist,5.94
1199,Winged Monkey,8.4
1200,Unfrozen Mage,31.0
1201,Unfrozen Lord,37.2
1202,Unfrozen Warrior,35.47
1203,Unfrozen,28.33
1204,Elder Druid,41.1
1205,Gutuater,23.67
1206,Vergobret,18.67
1207,Eponi Chieftain,16.24
1208,Eponi Knight,11.48
1209,Marverni Scout,5.67
1210,Marverni Horn Blower,5.1
1211,Marverni Slinger,6.12
1212,Marverni Javelineer,6.8
1213,Marverni Bare Chested Warrior,6.12
1214,Marverni Noble Warrior,9.57
1215,Marverni Chieftain,11.55
1216,Ambibate Bare Chested Warrior,8.7
1217,Ambibate Noble Warrior,11.55
1218,Ambibate Chieftain,12.54
1219,Carnute Bare Chested Warrior,7.59
1220,Carnute Noble Warrior,8.58
1221,Carnute Chieftain,12.6
1222,Boar Warrior,23.4
1223,Boar Lord,25.56
1224,Dire Wolf,23.04
1225,Sequani Stargazer,6.3
1226,Naiad,45.9
1227,Kydnid,11.7
1228,Pharmakeia,95.7
1229,Son of Fenrer,152.23
1230,Titan of the Forge,85.33
1231,Drakaina,171.91
1232,Old Man of the Sea,94.5
1233,Lord of the Waves,100.2
1234,Asp Turtle,122.55
1235,Leviathan,89.26
1236,Leviathan,67.37
1237,Hochmeister,41.48
1238,Ashigaru,7.59
1239,Samurai Archer,8.28
1240,Samurai,8.67
1241,Samurai,7.8
1242,Samurai,8.67
1243,O-ban,12.3
1244,Go-Hatamoto,14.67
1245,Aka-Oni Samurai,14.1
1246,Samurai Cavalry,19.68
1247,Sohei,23.67
1248,Yamabushi,22.2
1249,Gokenin,14.1
1250,Mounted Gokenin,22.56
1251,Hatamoto,21.65
1252,Daimyo,14.1
1253,Daimyo,16.92
1254,Shugenja,5.0
1255,Master Shugenja,7.5
1256,Shura,66.0
1257,Ninja,17.17
1258,Kannushi,16.83
1259,Onmyo-ji,8.7
1260,Ko-Oni,7.83
1261,Oni spirit,12.18
1262,Oni,13.2
1263,Oni Spirit,12.48
1264,Ao-Oni,15.84
1265,Oni Spirit,16.64
1266,Aka-Oni,15.84
1267,Oni Spirit,16.64
1268,Kuro-Oni,13.2
1269,Oni Spirit,12.48
1270,Ronin,7.83
1271,Maker of Ruins,2449.73
1272,Oni,29.92
1273,Oni Spirit,30.8
1274,Kuro-Oni,35.9
1275,Oni Spirit,30.8
1276,Oni Shugo,86.76
1277,Oni Spirit,64.51
1278,Raptorian Warrior,7.8
1279,Iron Crow,10.56
1280,Earthbound,30.67
1281,Iron Crafter,5.16
1282,Caretaker,20.4
1283,Ice Crafter,5.16
1284,Spire Horn Seraph,5.4
1285,Iceclad,7.8
1286,Eagle King,79.02
1287,Tempest Warrior,8.67
1288,Sastar,11.4
1289,Airya Temple Guard,21.3
1290,Catoblepas,52.88
1291,Turtle Warrior,9.6
1292,Turtle Warrior,9.6
1293,Turtle Chief,15.84
1294,Turtle Chief,15.84
1295,Mermidon,17.2
1296,Erinya,360.86
1297,Erinya,360.86
1298,Erinya,360.86
1299,Jotun Jarl,59.88
1300,Jotun Gode,57.3
1301,Jotun Herse,50.37
1302,Jotun Bondi,13.2
1303,Jotun Warrior,19.6
1304,Jotun Warrior,22.18
1305,Jotun Hurler,14.36
1306,Jotun Huskarl,26.4
1307,Godihuskarl,36.8
1308,Jotun Hirdman,33.12
1309,Jotun Wolf,63.0
1310,Ulfhedin,46.17
1311,Bandit,7.59
1312,Bandit,7.45
1313,Bandit Leader,6.9
1314,Demon General,17.1
1315,Sorcerer,9.3
1316,Dai Oni,172.92
1317,Oni Spirit,108.38
1318,Naga,48.67
1319,Naga Warrior,55.04
1320,Nagaraja,93.42
1321,Nagarishi,98.29
1322,Nagini,71.75
1323,Nagaraja,51.75
1324,Nagarishi,56.91
1325,Nagini,38.91
1326,Guhyaka,48.64
1327,Yavana,47.23
1328,Yavana Archer,49.25
1329,Yaksha,83.09
1330,Yakshini,74.23
1331,Kinnara,73.8
1332,Apsara,39.6
1333,Bandar Warrior,13.1
1334,Bandar Commander,19.68
1335,Gandharva,53.86
1336,Devata,147.87
1337,Siddha,80.64
1338,Celestial Hound,49.57
1339,Nyorai,71.4
1340,Tiwaz of War,87.12
1341,Devi of Darkness,122.42
1342,Titan of Rivers,80.64
1343,Titan of Love,93.24
1344,Devi of Good Fortunes,69.81
1345,Celestial General,101.4
1346,Colossal Fetish,70.5
1347,Sirrush,200.1
1348,Titan of Serpents and Medicine,99.5
1349,Devourer of Souls,235.18
1350,Bandar Swordsman,13.44
1351,Light Bandar Warrior,13.1
1352,Entrance Guard,13.68
1353,Blood Guard,14.76
1354,Agarthan Heavy Infantry,6.9
1355,Agarthan Infantry,6.9
1356,Ozelotl,72.58
1357,Beast Bat,30.24
1358,Monster Toad,60.48
1359,Jaguar Toad,24.3
1360,Onaqui,99.53
1361,Nahualli,17.1
1362,Turkey,15.56
1363,Ancestral Spirit,8.7
1364,Jade Lizard,24.96
1365,Lizard Charioteer,12.21
1366,Lizard Heir,32.88
1367,Angel of the Heavenly Choir,38.16
1368,Seraph,260.61
1369,Angel of Fury,85.23
1370,Volla of the Bountiful Forest,60.84
1371,Titan of Death and Rebirth,82.33
1372,Annunaki of the Sky,97.2
1373,Annunaki of Sweet Waters,85.33
1374,Annunaki of the Morning Star,90.9
1375,Spenta of Sky and Metals,161.7
1376,Spenta of Animals,146.7
1377,Spenta of Fire,146.7
1378,Lord of the Forest,87.0
1379,Keeper of the Bridge,80.55
1380,Great Hawk,22.29
1381,Great Eagle,53.57
1382,Abductor,198.0
1383,Great Eagle,152.86
1384,Solar Disc,97.06
1385,Legatus Legionis,13.53
1386,Legatus Legionis,13.53
1387,Reborn,13.8
1388,Ziz,84.6
1389,Blood Lord,18.33
1390,Bakemono-Sho,5.61
1391,Bakemono Archer,5.51
1392,Bakemono Warrior,8.7
1393,Bakemono-Sho,5.0
1394,Bakemono-Sho,5.61
1395,Bakemono Archer,5.51
1396,Dai Bakemono,20.5
1397,Dai Bakemono,19.2
1398,Bakemono General,28.33
1399,O-bakemono,20.9
1400,Defender,16.24
1401,Polypal Mother,39.24
1402,Polypal Queen,51.4
1403,Giboleth,18.14
1404,Polypal Spawn,5.25
1405,Goat Sun,284.38
1406,Visitor,170.64
1407,Hunter of Heroes,2252.14
1408,Ichtycentaur,18.0
1409,Ichtycentaur,19.8
1410,Ichtycentaur Cataphract,25.6
1411,Ichtycentaur Cataphract,28.8
1412,Amphiptere,50.54
1413,Trident Lord,49.28
1414,Trident Lord,47.52
1415,Pelagian Mermage,7.0
1416,Pelagian Mermage,6.0
1417,Amber Clan Mage,22.8
1418,Amber Clan Priest,23.52
1419,Amber Clan Guard,16.9
1420,King of Rain,86.4
1421,Rain Priest,38.16
1422,Civateteo,67.2
1423,Rain Warrior,28.0
1424,Sun Priest,42.9
1425,Troll Guard,48.05
1426,Crowned Ape,37.68
1427,Bakemono Sorcerer,70.8
1428,Bakemono Kunshu,54.6
1429,Uba,11.97
1430,Ghost Cat,36.54
1431,Nushi,35.4
1432,Hannya,53.52
1433,Kitsune,28.8
1434,Kitsune,28.77
1435,Swamp Serpent,45.3
1436,Noppera-bo,13.2
1437,Blindfighter,25.56
1438,Ktonian Necromancer,39.67
1439,Iron Corpse,16.07
1440,Iron Ancestor,44.8
1441,Flame Corpse,14.52
1442,Attendant of the Dead,21.3
1443,Servant of the Oracles,30.67
1444,Blindlord,28.86
1445,Cave Captain,9.57
1446,Gate Lord,13.68
1447,Agarthan Light Infantry,6.9
1448,Agarthan Scout,8.28
1449,Agarthan Sapper,8.28
1450,Cave Knight,11.55
1451,Drake Lord,14.76
1452,Pale One Militia,5.0
1453,Pale One Warrior,6.07
1454,Unused Ancient One,34.32
1455,Ancient Wet One,43.33
1456,Seal Guard,55.8
1457,Oracle of Subterranean Waters,80.67
1458,Earth-Blooded,125.33
1459,Oracle of the Ancients,80.67
1460,Earth Reader,32.07
1461,Troglodyte Lord,44.46
1462,Cavern Guard,9.5
1463,Pale One Commander,11.73
1464,Pale One Warrior,6.07
1465,Pale One,7.28
1466,Pale One Scout,9.5
1467,Oracle of Subterranean Fires,80.67
1468,Oracle of the Dead,80.67
1469,Ancient One,41.67
1470,Ancient Lord,53.1
1471,Pale One Captain,11.73
1472,Pale One Soldier,6.07
1473,Earth Reader,21.67
1474,Golem Crafter,33.67
1475,Attendant of the Oracles,15.3
1476,Tomb Oracle,163.67
1477,Kokythiad,47.4
1478,Karasu Tengu,32.87
1479,Konoha Tengu,28.12
1480,Dai Tengu,66.88
1481,Tengu Warrior,30.49
1482,Kappa,18.14
1483,Tzitzimitl,95.94
1484,Tlaloque of the East,148.47
1485,Tlaloque of the South,148.47
1486,Tlaloque of the West,148.47
1487,Tlaloque of the North,148.47
1488,Ancient Stone Hurler,41.18
1489,Wet One,6.07
1490,Umbral,88.92
1491,Wet One,8.87
1492,Spenta of Plants,117.0
1493,Spenta of Waters,120.0
1494,Spenta of the Earth,141.0
1495,Ancient Stone Hurler,41.18
1496,Sentinel,75.31
1497,Attentive Statue,33.96
1498,Granite Guardian,186.06
1499,Marble Oracle,217.21
1500,Sepulchral,111.8
1501,Cavern Wight,33.33
1502,Helkarl,50.28
1503,Helhirding,38.4
1504,Mounted Hirdman,18.04
1505,Vanherse,50.28
1506,Vanjarl,62.45
1507,Dis,54.72
1508,Huskarl,16.72
1509,Huskarl,15.05
1510,Hirdman,13.53
1511,Vanadis,78.96
1512,Van Scout,15.03
1513,Vanhere,33.26
1514,Lizard Shaman,30.55
1515,Slave Trooper,8.25
1516,Slave Trooper,6.88
1517,Slave Trooper,8.4
1518,Slave Mage,14.0
1519,Slave Mage,13.0
1520,Aboleth,58.09
1521,Mind Lord,79.99
1522,Gibodai,30.24
1523,Slave Prince,22.8
1524,Slave Guardian,6.0
1525,Slave Guardian,5.0
1526,Slave Guardian,8.4
1527,Slave Priest,15.0
1528,Slave Priest,14.0
1529,Slave Troll,37.61
1530,Kappa Mage,27.71
1531,Kappa Chief,39.51
1532,Satyr Warrior,14.4
1533,Minotaur Warrior,20.4
1534,Minotaur Lord,27.23
1535,Pan,52.2
1536,Anointed of Rhuax,95.88
1537,Demonbred,33.48
1538,Warlock,24.96
1539,Ghost Mage,52.2
1540,Ghost Mage,52.2
1541,Ghost Champion,84.9
1542,Warlock Apprentice,13.8
1543,Burning One,47.23
1544,Warrior of the Five Elements,32.47
1545,Warrior,9.2
1546,Warrior,9.2
1547,Warrior,8.28
1548,Feathered Warrior,10.44
1549,Shuten-doji,21.17
1550,Kappa,18.14
1551,Phalangite,10.63
1552,Phalangite Commander,16.54
1553,Agema Companion,18.04
1554,Agema Commander,22.56
1555,Elephant Rider,5.1
1556,Cerulean Warrior,17.1
1557,Sibyl,30.45
1558,Tlahuelpuchi,30.99
1559,Dog,22.44
1560,Dog,7.44
1561,Father of Winters,100.2
1562,Void Spectre,76.58
1563,Void Cultist,14.07
1564,Mad Cultist,14.07
1565,Peasant,5.0
1566,Mad One,5.28
1567,Mad Merman,5.4
1568,Mad Merman,5.0
1569,Mad Triton,5.4
1570,Human Dreamer,5.0
1571,Deep One Dreamer,5.0
1572,Merman Dreamer,5.0
1573,Merman Dreamer,5.0
1574,Triton Dreamer,5.4
1575,Hybrid Cultist,27.34
1576,Mad Hybrid,9.36
1577,Ancestor Vessel,44.35
1578,Axeman,6.9
1579,Red Devil,20.01
1580,Son of the Dragon King,33.13
1581,Risen Oracle,80.33
1582,Guardian of the Tree,78.63
1583,Maker of Heroes,52.43
1584,Son of Steel,35.97
1585,Fallen,77.1
1586,Pontifex Maximus,49.53
1587,Primate,44.1
1588,Wanderer,77.88
1589,Man Eater,99.73
1590,Ageless Olm,61.44
1591,Spy,7.59
1592,Bear Tribe Warrior,10.12
1593,Bear Tribe Warrior,7.59
1594,Deer Tribe Warrior,9.2
1595,Deer Tribe Archer,8.28
1596,Wolf Tribe Shaman,21.67
1597,Bear Tribe Shaman,22.43
1598,Deer Tribe Shaman,20.67
1599,Machaka Warrior,8.43
1600,Lion Tribe Warrior,9.2
1601,Lion Tribe Archer,5.0
1602,Lion Tribe Witch Doctor,10.67
1603,Human Huskarl,8.28
1604,Human Huskarl,9.2
1605,Herse,9.57
1606,Mage Engineer,7.5
1607,Yazad,37.7
1608,Bakemono Shaman,15.3
1609,Demon Priest,10.83
1610,Jaguar Tribe Slinger,6.8
1611,Jaguar Tribe Warrior,8.28
1612,Jaguar Tribe Priest,21.9
1613,Toad Tribe Warrior,5.87
1614,Toad Tribe Shaman,20.16
1615,Caveman,16.53
1616,Caveman Champion,18.6
1617,Seal Hunter,9.68
1618,Angakok,77.4
1619,Slave Guardian,5.87
1620,Reef Warrior,13.64
1621,Atlantian Infantry,8.07
1622,Coral Guard,13.6
1623,Tungalik,28.07
1624,Tupilak,46.87
1625,Snow Warrior,8.07
1626,Snow Warrior,8.07
1627,Ice Warrior,10.27
1628,Ice Guard,14.4
1629,Ice Guard,16.0
1630,Arssartut,32.93
1631,Tent Owner,13.44
1632,Snow Captain,11.2
1633,Ice Captain,16.0
1634,Kivigtok,54.5
1635,Wet One,6.07
1636,Wet One,8.87
1637,Wet One Captain,6.07
1638,Wet One Captain,8.87
1639,Cultist,19.17
1640,Cultist,14.07
1641,Tower Knight,18.04
1642,Tower Guard,10.44
1643,Magister of Theology,13.5
1644,Magister,5.0
1645,Judge,5.0
1646,Magister Arcane,18.3
1647,Bishop,22.67
1648,Warden,31.24
1649,Scorpion Man,172.3
1650,Oreiad,48.9
1651,Jotun Werewolf,74.12
1652,Jotun Werewolf,133.72
1653,Jotun Wolf,78.04
1654,Lictor,23.43
1655,Censor,27.72
1656,Smoulderghost,27.2
1657,Longdead Triarius,9.39
1658,Longdead Principe,9.22
1659,Tomb Charioteer,9.12
1660,Reassembled Prince,92.51
1661,Misbred,18.2
1662,Disease Demon,72.0
1663,Harab Seraph,8.16
1664,Monster Fish,89.37
1665,Noble Commander,14.52
1666,Lord Warden,40.08
1667,Warlock,78.42
1668,Corruptor,103.5
1669,Sauromatian Amazon,9.67
1670,Heart Hider,48.4
1671,Ghost General,83.13
1672,Master of the Shadow Blossom,54.2
1673,Devourer of Demons,30.91
1674,Unwinged,53.33
1675,Agarthan Light Crossbowman,5.0
1676,Agarthan Crossbowman,5.0
1677,Agarthan Heavy Crossbowman,5.0
1678,Ancient Olm,83.69
1679,Serf Warrior,5.0
1680,Scout,7.59
1681,Atlantian Spearman,8.43
1682,Reef Dweller,8.07
1683,Shambler,15.55
1684,War Shambler,17.6
1685,Coral Guard,22.1
1686,Deep One,9.07
1687,Deep One Spearman,10.08
1688,Shambler of the Deep,24.88
1689,Warrior of the Deep,23.04
1690,Living Pillar,52.0
1691,Mind Lord,129.98
1692,Mage of the Deep,19.5
1693,Mother of the Deep,36.36
1694,Coral Priest,20.16
1695,Basalt Queen,109.14
1696,Merman Priest,13.8
1697,Merman Priest,12.9
1698,Anathemant Salamander,35.76
1699,Anathemant Dragon,53.76
1700,Shambler Chief,12.96
1701,Coral Commander,25.5
1702,Basalt King,104.0
1703,Mournful,10.0
1704,Centaur Warrior,22.4
1705,Great Ape,13.1
1706,Ape Oracle,16.57
1707,Raptorian Militia,5.0
1708,Consort of the Dead,61.5
1709,Ancestor Smith,50.6
1710,Spirit Master,42.72
1711,Ancestor Guide,43.4
1712,Celestial Master,30.3
1713,Devala,88.95
1714,Dakini,94.87
1715,Pisacha,14.4
1716,Soulless Bandar,5.0
1717,Soulless Bandar Warrior,5.0
1718,Soulless Bandar Warrior,5.0
1719,Longdead Bandar,9.3
1720,Longdead Bandar,9.3
1721,Longdead Bandar Warrior,9.3
1722,Longdead Bandar Warrior,10.33
1723,Longdead Raja,13.57
1724,Soulless Vanara,5.0
1725,Soulless Vanara Warrior,5.0
1726,Soulless Vanara Warrior,5.0
1727,Longdead Vanara,6.3
1728,Longdead Vanara Warrior,6.3
1729,Longdead Vanara Warrior,6.3
1730,Longdead Vanara Commander,8.64
1731,Soulless Markata,5.0
1732,Longdead Markata,6.84
1733,Raktapata,33.9
1734,Yogini,29.82
1735,Kala-Mukha,47.19
1736,Rakshasa,49.93
1737,Rakshasa Warrior,51.33
1738,Raksharaja,99.55
1739,Rakshasi,56.61
1740,Manushya Rakshasi,45.89
1741,Asrapa,43.8
1742,Praghasa,47.52
1743,Sandhyabala,49.8
1744,Samanishada,59.76
1745,Asara,57.12
1746,Anusara,39.33
1747,Palankasha,45.6
1748,Mandeha,165.18
1749,Fir Bolg Militia,7.33
1750,Fir Bolg Champion,16.24
1751,Sidhe Warrior,18.04
1752,Sidhe Champion,44.86
1753,Tuatha Warrior,39.84
1754,Ri,71.16
1755,Fir Bolg Scout,15.05
1756,Fir Bolg Warrior,12.54
1757,Fir Bolg Warrior,16.72
1758,Fir Bolg Slinger,10.3
1759,Sidhe Lord,63.72
1760,Bandaraja,19.0
1761,Bandar Commander,19.68
1762,Bandar Warrior,13.1
1763,Kala-Mukha Warrior,38.25
1764,Gana,15.6
1765,Possessed Corpse,14.88
1766,Vetala,19.01
1767,Danava,210.3
1768,Barghest,43.89
1769,Black Dog,14.04
1770,Cu Sidhe,43.74
1771,Mounted Scout,9.49
1772,Olm Spawn,57.7
1773,Tuatha Sorceress,78.43
1774,Bean Sidhe,33.42
1775,Baobhan Sidhe,23.52
1776,Bean Sidhe,46.25
1777,Fir Bolg Hero,25.49
1778,Hero,39.31
1779,Milesian Slinger,5.0
1780,Milesian Spearman,7.67
1781,Milesian Longspear,8.43
1782,Milesian Swordsman,6.9
1783,Milesian Champion,9.57
1784,Milesian Monk,12.45
1785,Fir Bolg Slinger,10.3
1786,Fir Bolg Clan Warrior,12.54
1787,Fir Bolg Clan Warrior,16.72
1788,Fir Bolg Champion,16.24
1789,Milesian Scout,8.28
1790,Nemedian Warrior,25.44
1791,Nemedian Champion,47.45
1792,Nemedian Sorceress,37.13
1793,Nemedian Queen,99.13
1794,Last Partholonian,81.43
1795,Partholonian Sorceress,94.7
1796,Fomorian Militia,10.67
1797,Fomorian Javelinist,22.4
1798,Fomorian Spearman,18.67
1799,Fomorian Warrior,28.0
1800,Fomorian Champion,40.48
1801,Fomorian Giant,100.64
1802,Fomorian King,154.4
1803,Uncursed,172.92
1804,High King,244.56
1805,Long Handed,97.06
1806,Fianna,44.93
1807,Great Boar,35.1
1808,Iron Boar,60.74
1809,Great Boar of Carnutes,89.76
1810,Longdead Partholonian,20.79
1811,Fir Bolg Scout,15.05
1812,Fir Bolg Warrior,12.54
1813,Fir Bolg Warrior,16.72
1814,Fir Bolg Slinger,10.3
1815,Fir Bolg Champion,16.24
1816,Fomorian Scout,33.6
1817,Unmarked,55.73
1818,Unmarked Champion,81.72
1819,Fomorian Druid,61.0
1820,Fir Bolg Militia,7.33
1821,Morrigan,46.6
1822,Daughter of Typhon,806.31
1823,Daughter of Typhon,806.31
1824,Daughter of Typhon,671.92
1825,Daughter of Typhon,671.92
1826,Daughter of Typhon,559.94
1827,Daughter of Typhon,559.94
1828,Daughter of Typhon,466.61
1829,Daughter of Typhon,466.61
1830,Daughter of Typhon,497.38
1831,Hydra,204.45
1832,Hydra,170.37
1833,Hydra,141.98
1834,Hydra,118.31
1835,Hydra,107.37
1836,Ko-Oni,7.83
1837,Oni spirit,12.18
1840,Hydra Hatchling,23.87
1841,Hydra Hatchling,23.87
1842,Hydra Hatchling,23.2
1843,Antlered One,40.32
1844,Trainer of Heroes,62.6
1845,Bakemono Chief,9.57
1846,Onyx Oracle,307.32
1847,Decrepit,89.13
1848,Mason of the Underworld,50.1
1849,Blinded,74.67
1850,Hydra,288.43
1851,Hydra,240.36
1852,Hydra,200.3
1853,Hydra,166.91
1854,Hydra,147.87
1859,Hydra Hatchling,42.23
1860,Hydra Hatchling,42.23
1861,Hydra Hatchling,38.51
1862,Milite,5.0
1863,Limitane,5.0
1864,Limitane Primani,6.9
1865,Limitane Solaris,9.36
1866,Primani Solaris,11.55
1867,Comitatense,11.48
1868,Palatine,13.53
1869,Centurion,9.57
1870,Tribuni,16.92
1871,Magister Militum,11.55
1872,Leo,17.76
1873,Heliodromus,13.5
1874,Theurg,22.74
1875,Epoptes,5.97
1876,Mystes,5.97
1877,Renata,19.28
1878,Renatus,19.67
1879,Serpent Assassin,23.1
1880,Reveler,6.3
1881,Satyr,17.28
1882,Moon Warrior,10.63
1883,Moon Warrior,10.63
1884,Priest King,105.8
1885,Feathered Serpent,109.2
1886,Priest King,88.56
1887,Feathered Serpent,97.2
1888,Sky Priest,21.9
1889,Jade Serpent,86.4
1890,Apothecary,5.0
1891,Alchemist of the Five Elements,5.0
1892,Imperial Alchemist,22.35
1893,Imperial Geomancer,7.35
1894,Minister of Magic,5.0
1895,Ceremonial Master,14.07
1896,Lawgiver,25.4
1897,Feathered Serpent,29.7
1898,Fomorian Sorcerer,35.33
1899,Fomorian God King,133.64
1900,Imperial City Guard,11.67
1901,Medium Footman,7.67
1902,Ministry Guardsman,8.67
1903,Ministry Footman,8.67
1904,Medium Footman,7.67
1905,Great Sorceress,24.33
1906,Rudra,168.46
1907,High Priest of the Sky,44.7
1908,Huli Jing,28.8
1909,Huli Jing,28.77
1910,Monster Boar,48.6
1911,Defiler of Dreams,181.44
1912,Brigand Leader,11.48
1913,Abomination of Desolation,1613.23
1914,Apostate Raja,43.2
1915,Red Tengu,38.45
1916,Veliki Knyaz,18.33
1917,Knyaz,14.76
1918,Voivode,9.57
1919,Fivefold Angel,29.07
1920,Skopets,20.49
1921,Khlyst,12.69
1922,Grid Druzhina,10.44
1923,Malaia Druzhina,18.04
1924,Styag,13.12
1925,Black Hood,8.28
1926,Peshtsi City Guard,6.9
1927,Peshtsi Axeman,6.9
1928,Peshtsi Spearman,7.67
1929,Voi Spearman,5.0
1930,Voi Axeman,5.0
1931,Voi Archer,5.0
1932,Alchemist,10.5
1933,Kalendologist,10.5
1934,Occultist,10.5
1935,Astrapelagist,13.5
1936,Master of Names,10.5
1937,Starets,25.5
1938,Vyedun,17.67
1939,Vyedma,12.67
1940,Zmey,79.78
1941,Cloud Vila,63.26
1942,Mountain Vila,57.72
1943,Alkonost,45.32
1944,Gamayun,54.32
1945,Sirin,26.93
1946,Firebird,14.9
1947,Simargl,14.85
1948,Bukavac,294.41
1949,Leshiy,65.32
1950,Leshiy,152.53
1951,Great Forest Bear,192.89
1952,Likho,5.0
1953,Vodyanoy,29.97
1954,Rusalka,13.83
1955,Beregina,40.53
1956,Lady Midday,20.47
1957,Bogatyr,52.8
1958,Hag,70.35
1959,Deathless,60.66
1960,Exarch,20.07
1961,Eparch,29.07
1962,Patriarch,57.9
1963,Bakemono Scout,5.51
1964,Slayer Newt,28.12
1965,Slayer Worm,40.91
1966,Slayer Anathemant,49.91
1967,Slayer Sanguine,55.91
1968,Slayer Dragon,97.92
1969,Anathemant Salamander,44.76
1970,Anathemant Dragon,53.76
1971,Smoulderghost,39.2
1972,Warbred,15.47
1973,Black Priest,27.03
1974,Black Acolyte,16.53
1975,Iron Angel,88.13
1976,Longdead Giant,10.44
1977,Fossilized Giant,30.85
1978,Dust Priest,64.0
1979,Dust King,55.2
1980,Dust Warrior,31.92
1981,Dust Walker,28.33
1982,Priest Smith,32.23
1983,Green Lion,96.94
1984,Levite Priest,15.69
1985,Nabi,23.1
1986,Kohen,35.04
1987,Kohen Gadol,97.08
1988,Yeddeoni,15.6
1989,Levite Zealot,17.7
1990,Asherite Soldier,8.7
1991,Gadite Swordsman,9.11
1992,Zebulunite Soldier,12.67
1993,Naphtali Spearman,9.2
1994,Reubenite Archer,5.0
1995,Iassacharite Scout,6.12
1996,Benjaminite Slinger,12.53
1997,Iassacharite Sage,9.45
1998,Fossil Warrior,30.85
1999,Gittite Soldier,20.4
2000,Gibbor,52.56
2001,Seren,61.62
2002,Gittite Commander,27.22
2003,Human Slinger,5.0
2004,Human Slave,5.0
2005,Edomite,7.2
2006,Amorite,24.93
2007,Gileadite,27.13
2008,Bashanite,27.75
